"case_label","p","q","p_recovered","abs_error","p0","gamma","mu","sigma","facet"
"inv_B",0.425,-1.29253407309599,0.425,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.42875,-1.27672137989568,0.42875,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.4325,-1.26104638969046,0.4325,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.43625,-1.24550672483,0.43625,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.44,-1.23010006871779,0.44,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.44375,-1.21482416373862,0.44375,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.4475,-1.19967680927311,0.4475,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.45125,-1.18465585979518,0.45125,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.455,-1.16975922304823,0.455,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.45875,-1.15498485829614,0.45875,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.4625,-1.14033077464548,0.4625,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.46625,-1.1257950294355,0.46625,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.47,-1.11137572669256,0.47,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.47375,-1.097071015646,0.47375,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.4775,-1.08287908930253,0.4775,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.48125,-1.06879818307636,0.48125,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.485,-1.05482657347248,0.485,5.55111512312578e-17,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.48875,-1.04096257682071,0.48875,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.4925,-1.02720454805809,0.4925,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.49625,-1.01355087955742,0.49625,5.55111512312578e-17,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.5,-1,0.5,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.50375,-0.986449120442575,0.50375,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.5075,-0.972795451941913,0.5075,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.51125,-0.959037423179291,0.51125,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.515,-0.945173426527525,0.515,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.51875,-0.931201816923644,0.51875,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.5225,-0.917120910697468,0.5225,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.52625,-0.902928984354,0.52625,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.53,-0.888624273307442,0.53,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.53375,-0.874204970564501,0.53375,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.5375,-0.859669225354519,0.5375,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.54125,-0.845015141703859,0.54125,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.545,-0.830240776951765,0.545,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.54875,-0.815344140204818,0.54875,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.5525,-0.800323190726893,0.5525,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.55625,-0.785175836261381,0.55625,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.56,-0.769899931282207,0.56,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.56375,-0.754493275170001,0.56375,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
