"x","density","case_label","p0","gamma","mu","sigma","facet"
-7.74,0.0206924537904209,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.72,0.0207558208212414,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.7,0.0208193819025421,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.68,0.0208831376285688,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.66,0.0209470885953869,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.64,0.0210112354008875,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.62,0.0210755786447922,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.6,0.0211401189286595,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.58,0.0212048568558898,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.56,0.0212697930317316,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.54,0.0213349280632864,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.52,0.0214002625595155,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.5,0.0214657971312444,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.48,0.0215315323911695,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.46,0.0215974689538634,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.44,0.0216636074357808,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.42,0.021729948455264,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.4,0.0217964926325491,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.38,0.0218632405897713,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.36,0.0219301929509712,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-7.34,0.0219973503421002,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
