"x","cdf","gamma","gamma_label","p0"
-6.72,0.0872243279762686,-1.01769180900079,"gamma = -1.018",0.6
-6.70666666666667,0.0876939777655579,-1.01769180900079,"gamma = -1.018",0.6
-6.69333333333333,0.0881656357584537,-1.01769180900079,"gamma = -1.018",0.6
-6.68,0.0886393071389803,-1.01769180900079,"gamma = -1.018",0.6
-6.66666666666667,0.089114997083015,-1.01769180900079,"gamma = -1.018",0.6
-6.65333333333333,0.0895927107581204,-1.01769180900079,"gamma = -1.018",0.6
-6.64,0.0900724533233733,-1.01769180900079,"gamma = -1.018",0.6
-6.62666666666667,0.0905542299291953,-1.01769180900079,"gamma = -1.018",0.6
-6.61333333333333,0.0910380457171817,-1.01769180900079,"gamma = -1.018",0.6
-6.6,0.0915239058199281,-1.01769180900079,"gamma = -1.018",0.6
-6.58666666666667,0.0920118153608598,-1.01769180900079,"gamma = -1.018",0.6
-6.57333333333333,0.0925017794540574,-1.01769180900079,"gamma = -1.018",0.6
-6.56,0.0929938032040822,-1.01769180900079,"gamma = -1.018",0.6
-6.54666666666667,0.0934878917058022,-1.01769180900079,"gamma = -1.018",0.6
-6.53333333333333,0.0939840500442155,-1.01769180900079,"gamma = -1.018",0.6
-6.52,0.0944822832942747,-1.01769180900079,"gamma = -1.018",0.6
-6.50666666666667,0.0949825965207093,-1.01769180900079,"gamma = -1.018",0.6
-6.49333333333333,0.0954849947778483,-1.01769180900079,"gamma = -1.018",0.6
-6.48,0.0959894831094402,-1.01769180900079,"gamma = -1.018",0.6
-6.46666666666667,0.096496066548475,-1.01769180900079,"gamma = -1.018",0.6
-6.45333333333333,0.0970047501170034,-1.01769180900079,"gamma = -1.018",0.6
-6.44,0.0975155388259559,-1.01769180900079,"gamma = -1.018",0.6
-6.42666666666667,0.0980284376749604,-1.01769180900079,"gamma = -1.018",0.6
-6.41333333333333,0.0985434516521623,-1.01769180900079,"gamma = -1.018",0.6
-6.4,0.099060585734037,-1.01769180900079,"gamma = -1.018",0.6
-6.38666666666667,0.0995798448852101,-1.01769180900079,"gamma = -1.018",0.6
-6.37333333333333,0.100101234058271,-1.01769180900079,"gamma = -1.018",0.6
-6.36,0.100624758193586,-1.01769180900079,"gamma = -1.018",0.6
-6.34666666666667,0.101150422219114,-1.01769180900079,"gamma = -1.018",0.6
-6.33333333333333,0.10167823105022,-1.01769180900079,"gamma = -1.018",0.6
-6.32,0.102208189589484,-1.01769180900079,"gamma = -1.018",0.6
-6.30666666666667,0.102740302726518,-1.01769180900079,"gamma = -1.018",0.6
-6.29333333333333,0.103274575337771,-1.01769180900079,"gamma = -1.018",0.6
-6.28,0.103811012286343,-1.01769180900079,"gamma = -1.018",0.6
-6.26666666666667,0.10434961842179,-1.01769180900079,"gamma = -1.018",0.6
-6.25333333333333,0.104890398579939,-1.01769180900079,"gamma = -1.018",0.6
-6.24,0.105433357582689,-1.01769180900079,"gamma = -1.018",0.6
-6.22666666666667,0.105978500237822,-1.01769180900079,"gamma = -1.018",0.6
-6.21333333333333,0.106525831338808,-1.01769180900079,"gamma = -1.018",0.6
-6.2,0.10707535566461,-1.01769180900079,"gamma = -1.018",0.6
-6.18666666666667,0.107627077979489,-1.01769180900079,"gamma = -1.018",0.6
-6.17333333333333,0.108181003032809,-1.01769180900079,"gamma = -1.018",0.6
-6.16,0.108737135558836,-1.01769180900079,"gamma = -1.018",0.6
-6.14666666666667,0.109295480276548,-1.01769180900079,"gamma = -1.018",0.6
-6.13333333333333,0.109856041889428,-1.01769180900079,"gamma = -1.018",0.6
-6.12,0.110418825085272,-1.01769180900079,"gamma = -1.018",0.6
-6.10666666666667,0.110983834535982,-1.01769180900079,"gamma = -1.018",0.6
-6.09333333333333,0.111551074897374,-1.01769180900079,"gamma = -1.018",0.6
-6.08,0.112120550808967,-1.01769180900079,"gamma = -1.018",0.6
-6.06666666666667,0.11269226689379,-1.01769180900079,"gamma = -1.018",0.6
-6.05333333333333,0.113266227758171,-1.01769180900079,"gamma = -1.018",0.6
-6.04,0.113842437991537,-1.01769180900079,"gamma = -1.018",0.6
-6.02666666666667,0.114420902166213,-1.01769180900079,"gamma = -1.018",0.6
-6.01333333333333,0.115001624837207,-1.01769180900079,"gamma = -1.018",0.6
-6,0.115584610542014,-1.01769180900079,"gamma = -1.018",0.6
-5.98666666666667,0.116169863800404,-1.01769180900079,"gamma = -1.018",0.6
-5.97333333333333,0.116757389114215,-1.01769180900079,"gamma = -1.018",0.6
-5.96,0.117347190967143,-1.01769180900079,"gamma = -1.018",0.6
-5.94666666666667,0.117939273824538,-1.01769180900079,"gamma = -1.018",0.6
-5.93333333333333,0.118533642133188,-1.01769180900079,"gamma = -1.018",0.6
-5.92,0.119130300321112,-1.01769180900079,"gamma = -1.018",0.6
-5.90666666666667,0.119729252797347,-1.01769180900079,"gamma = -1.018",0.6
-5.89333333333333,0.120330503951738,-1.01769180900079,"gamma = -1.018",0.6
-5.88,0.120934058154719,-1.01769180900079,"gamma = -1.018",0.6
-5.86666666666667,0.121539919757107,-1.01769180900079,"gamma = -1.018",0.6
-5.85333333333333,0.122148093089881,-1.01769180900079,"gamma = -1.018",0.6
-5.84,0.12275858246397,-1.01769180900079,"gamma = -1.018",0.6
-5.82666666666667,0.123371392170036,-1.01769180900079,"gamma = -1.018",0.6
-5.81333333333333,0.123986526478255,-1.01769180900079,"gamma = -1.018",0.6
-5.8,0.124603989638103,-1.01769180900079,"gamma = -1.018",0.6
-5.78666666666667,0.125223785878135,-1.01769180900079,"gamma = -1.018",0.6
