"x","cdf","case_label","p0","gamma","mu","sigma","facet"
-7.9,0.196316561794159,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.88,0.196760143183286,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.86,0.197204726853866,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.84,0.197650315070574,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.82,0.198096910103205,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.8,0.198544514226679,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.78,0.198993129721059,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.76,0.199442758871558,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.74,0.199893403968554,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.72,0.200345067307599,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.7,0.200797751189432,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.68,0.20125145791999,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.66,0.201706189810424,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.64,0.202161949177101,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.62,0.202618738341627,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.6,0.203076559630852,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.58,0.203535415376883,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.56,0.203995307917096,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.54,0.20445623959415,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.52,0.204918212755996,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.5,0.205381229755892,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.48,0.205845292952411,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.46,0.206310404709456,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.44,0.206776567396271,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.42,0.207243783387456,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.4,0.207712055062972,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.38,0.208181384808161,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.36,0.208651775013754,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.34,0.209123228075883,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.32,0.209595746396094,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
